tipProprietate;Tip strada;Denumire strada;Zona;Suprafata utila;Suprafata desfasurata;Suprafata teren;an_constr;trimestru;Pret tranz
apartament;Alee;ARGEDAVA;colentina;27.9000;;;2019;2020-T3;144111
apartament;Alee;ARGEDAVA;colentina;27.9000;;;2019;2020-T4;144530
apartament;Alee;ARGEDAVA;colentina;35.0000;;;2019;2020-T2;49350
apartament;Alee;ARGEDAVA;colentina;42.2000;;;2019;2020-T2;219969
apartament;Alee;ARGEDAVA;colentina;42.2000;;;2019;2020-T2;241499
apartament;Alee;ARGEDAVA;colentina;44.2000;;;2019;2020-T2;260064
apartament;Alee;ARGEDAVA;colentina;46.4000;;;2019;2020-T2;238276
apartament;Alee;ARGEDAVA;colentina;46.4000;;;2019;2020-T3;241729
apartament;Alee;ARGEDAVA;colentina;46.4000;;;2019;2020-T3;256735
apartament;Alee;ARGEDAVA;colentina;47.1000;;;2019;2020-T4;280205
apartament;Alee;ARGEDAVA;colentina;53.8000;;;2019;2020-T3;338758
apartament;Alee;ARGEDAVA;colentina;;44.0200;;2019;2020-T4;262811
apartament;Alee;ARGEDAVA;colentina;27.9000;;;2019;2020-T2;144294
apartament;Alee;ARGEDAVA;colentina;27.9000;;;2019;2020-T2;155914
apartament;Alee;ARGEDAVA;colentina;30.7000;;;2019;2020-T4;152042
apartament;Alee;ARGEDAVA;colentina;30.7000;;;2019;2020-T2;155245
apartament;Alee;ARGEDAVA;colentina;35.0000;;;2019;2020-T2;165822
apartament;Alee;ARGEDAVA;colentina;44.2000;;;2019;2020-T3;225766
apartament;Alee;ARGEDAVA;colentina;46.4000;;;2019;2020-T3;241359
teren;Alee;ARGEDAVA;colentina;;;8.5100;2020;2020-T2;221327
apartament;Alee;ARGEDAVA;colentina;;47.5000;;2008;2020-T2;241970
apartament;Alee;ARGEDAVA;colentina;;27.1000;;2007;2020-T1;181443
apartament;Alee;ARGEDAVA;colentina;29.8500;;;2008;2020-T2;156934
apartament;Alee;ARGEDAVA;colentina;33.0500;;;2008;2020-T2;151170
apartament;Alee;ARGEDAVA;colentina;59.2000;;;2018;2020-T3;299720
apartament;Alee;ARGEDAVA;colentina;;;22.1000;2020;2020-T3;322222
apartament;Alee;ARGEDAVA;colentina;59.2000;;;2018;2020-T1;333483
apartament;Alee;ARGEDAVA;colentina;81.8800;;;2018;2020-T1;325322
casa;Alee;ARGEDAVA;colentina;347.7500;;;2018;2020-T4;901597
apartament;Alee;ARRUBIUM;colentina;;105.9000;;2010;2020-T1;310700
teren;Alee;ARRUBIUM;colentina;;;66.0200;2020;2020-T1;47700
apartament;Alee;AVRIG;colentina;45.9800;;;1963;2020-T3;254241
apartament;Alee;AVRIG;colentina;50.6400;;;1964;2020-T1;309967
apartament;Alee;AVRIG;colentina;27.4300;;;1963;2020-T1;243329
apartament;Alee;AVRIG;colentina;47.2300;;;1964;2020-T2;268398
apartament;Alee;AVRIG;colentina;66.6400;;;1963;2020-T1;355587
apartament;Alee;AVRIG;colentina;69.2700;;;1963;2020-T4;363750
apartament;Alee;AVRIG;colentina;74.3000;;;1945;2020-T2;416480
apartament;Alee;AVRIG;colentina;;27.4500;;1980;2020-T4;219348
apartament;Alee;AVRIG;colentina;27.5700;;;1978;2020-T4;257250
apartament;Alee;AVRIG;colentina;28.3300;;;1978;2020-T4;243590
apartament;Alee;AVRIG;iancului;32.1400;;;2013;2020-T2;193200
apartament;Alee;AVRIG;iancului;48.6700;;;2020;2020-T4;375183
apartament;Alee;AVRIG;colentina;48.0700;;;1964;2020-T4;292458
apartament;Alee;AVRIG;colentina;29.7800;;;1979;2020-T4;257050
apartament;Alee;AVRIG;colentina;30.1300;;;1979;2020-T4;199838
teren;Alee;AVRIG;colentina;;;2.7900;2020;2020-T4;228399
apartament;Alee;BISTRICIOARA;colentina;55.5700;;;1986;2020-T1;238960
apartament;Alee;BISTRICIOARA;colentina;36.1100;;;1988;2020-T3;186200
apartament;Alee;BISTRICIOARA;colentina;29.5400;;;1996;2020-T4;146032
apartament;Alee;BISTRICIOARA;colentina;139.0000;;;1995;2020-T1;577884
apartament;Alee;BISTRICIOARA;colentina;89.2000;;;1990;2020-T2;443826
apartament;Alee;BISTRICIOARA;colentina;36.2900;;;1992;2020-T2;150019
apartament;Alee;BISTRICIOARA;colentina;55.7600;;;1986;2020-T1;286254
apartament;Alee;BRASOVENI;tei;23.1000;;;1983;2020-T4;150855
apartament;Alee;BRASOVENI;tei;22.7100;;;1986;2020-T1;195980
apartament;Alee;BRASOVENI;tei;;51.1200;;1985;2020-T3;372680
apartament;Alee;BRASOVENI;tei;52.3100;;;1984;2020-T4;315685
apartament;Alee;BRASOVENI;tei;52.4000;;;1984;2020-T2;324494
casa;Alee;BURIDAVA;colentina;105.3000;;;2020;2020-T1;466250
apartament;Alee;BURIDAVA;colentina;;146.3000;;2019;2020-T1;441606
apartament;Alee;BURIDAVA;colentina;;56.5000;;2019;2020-T1;638500
apartament;Alee;BURIDAVA;colentina;104.1000;;;2019;2020-T1;521565
teren;Alee;BURIDAVA;colentina;;;145.0000;2020;2020-T1;70000
apartament;Alee;CAMPUL MOSILOR;colentina;60.4300;;;1975;2020-T4;328300
apartament;Alee;CAMPUL MOSILOR;colentina;59.6500;;;1975;2020-T4;402188
apartament;Alee;CAMPUL MOSILOR;colentina;62.2000;;;1975;2020-T4;412500
apartament;Alee;CAMPUL MOSILOR;colentina;75.5000;;;1976;2020-T3;416180
apartament;Alee;CAMPUL MOSILOR;colentina;59.5000;;;1976;2020-T1;334838
apartament;Alee;CIRCULUI;tei;55.4400;;;1965;2020-T2;434700
apartament;Alee;CIRCULUI;tei;55.7500;;;1958;2020-T1;430200
apartament;Alee;CIRCULUI;tei;60.5000;;;1962;2020-T3;495354
apartament;Alee;CIRCULUI;tei;54.2800;;;1958;2020-T1;250000
apartament;Alee;CIRCULUI;tei;54.0000;;;1962;2020-T4;409390
apartament;Alee;CISLAU;iancului;47.9300;;;1985;2020-T4;250000
apartament;Alee;CISLAU;iancului;51.4000;;;1985;2020-T1;312670
apartament;Alee;CISLAU;iancului;36.2000;;;1982;2020-T4;219343
apartament;Alee;CISLAU;iancului;37.0500;;;1986;2020-T1;241339
apartament;Alee;CODLEA;pantelimon;48.2400;;;1986;2020-T1;250789
apartament;Alee;CODLEA;pantelimon;32.3900;;;1980;2020-T1;192000
apartament;Alee;CODLEA;pantelimon;30.4600;;;1981;2020-T1;174437
apartament;Alee;CODLEA;pantelimon;31.2000;;;1983;2020-T3;180208
apartament;Alee;CODLEA;pantelimon;50.0400;;;1980;2020-T4;316612
apartament;Alee;CODLEA;pantelimon;32.7000;;;1982;2020-T4;209530
apartament;Alee;CUMIDAVA;colentina;34.2400;;;2016;2020-T1;195893
teren;Alee;CUMIDAVA;colentina;;;25.0000;2020;2020-T1;247975
apartament;Alee;CUMIDAVA;colentina;;81.3100;;2018;2020-T3;399011
apartament;Alee;CUMIDAVA;colentina;49.7400;;;2018;2020-T1;29598
apartament;Alee;CUMIDAVA;colentina;70.6900;;;2019;2020-T1;397191
apartament;Alee;CUMIDAVA;colentina;85.8800;;;2018;2020-T1;416868
apartament;Alee;CUMIDAVA;colentina;87.0000;;;2018;2020-T1;516034
apartament;Alee;CUMIDAVA;colentina;50.6400;;;2008;2020-T1;257407
apartament;Alee;CUMIDAVA;colentina;90.9000;;;2008;2020-T1;240000
apartament;Alee;CUMIDAVA;colentina;65.4000;;;2017;2020-T2;324742
apartament;Alee;CUMIDAVA;colentina;68.7800;;;2016;2020-T1;288000
teren;Alee;CUMIDAVA;colentina;;;516.0000;2020;2020-T1;405128
teren;Alee;CUMIDAVA;colentina;;;250.0000;2020;2020-T1;202564
apartament;Alee;DEDA;centrala;23.5800;;;1980;2020-T4;208986
apartament;Alee;DEDA;centrala;28.4400;;;1981;2020-T3;208013
apartament;Alee;DEDA;centrala;28.5200;;;1981;2020-T1;229392
apartament;Alee;DEDA;centrala;28.1600;;;1980;2020-T1;232512
apartament;Alee;DEDA;centrala;48.3600;;;1980;2020-T1;272449
apartament;Alee;DEDA;centrala;51.2800;;;1981;2020-T4;414256
apartament;Alee;DEDA;centrala;67.1000;;;1980;2020-T3;463815
apartament;Alee;DIHAM;pantelimon;70.1700;;;1982;2020-T1;346730
apartament;Alee;DIHAM;pantelimon;51.0600;;;1980;2020-T3;123350
apartament;Alee;DIHAM;pantelimon;50.6300;;;1981;2020-T4;48718
apartament;Alee;DIHAM;pantelimon;28.5000;;;1982;2020-T3;190362
